Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,FMC - Chandlers Ford Dialysis,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,52958384,60264.31
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,FMC - Chandlers Ford Dialysis,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,52958405,75640.31
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Enteral Feeding,Nurtitional Nurses,NUTRICIA LTD,52958557,47040.54
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Med & Surg Equip Disp,Endoscopy,CHG-MERIDIAN UK LTD,52959335,69721.67
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,Recovery Costs,TIC MOBILE LTD,52959361,37200
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,PIERRE FABRE LTD,52962824,40038.43
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,52962827,29610.24
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,52962832,29114.88
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,AAH PHARMACEUTICALS LTD,52963017,26784
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,X-Ray Equipment Purchase,Breast Imaging,SUPPLY CHAIN COORDINATION LIMITED,52966559,28573.21
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Rent,Railway Triangle,CUSHMAN & WAKEFIELD,52970072,30282.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Service Charge,Railway Triangle,CUSHMAN & WAKEFIELD,52970072,3719.93
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,CLINIMED LTD,52970098,41760
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974256,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974260,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974264,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974269,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974273,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974277,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974282,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974339,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974346,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974351,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974356,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974363,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974370,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974377,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974384,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974389,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUALASEPT LTD T/A BATH ASU,52974424,35623.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974429,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974436,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974443,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974450,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974457,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,52974463,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,52975028,25625.57
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,52975045,55062
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,GENMED ME LTD,52978774,1979018.8
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,BUSINESS SUPPLIES GROUP LTD (THE),52978780,26216.04
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,LP HCS LTD,52978784,1000000
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Med & Surg Equip General,Theatres - Non Pay,ELIS UK,52978786,27148.52
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,52978821,85002.74
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,DIA - Havant Dialysis,DIAVERUM FACILITIES MANAGEMENT,52978824,104763.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Miscellaneous Expenditure,TRUST CENTRAL EXPENSES,PULSE HEALTHCARE LTD,52978827,450752.78
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,52978832,449126.7
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Miscellaneous Expenditure,TRUST CENTRAL EXPENSES,PULSE HEALTHCARE LTD,52978835,-450752.78
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,BOEHRINGER INGELHEIM LTD,52992945,55716.36
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory External Tests,Histopathology,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,53001001,27267.24
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Independent Sector,Cardiac Investigation Unit,XYLA ELECTIVE CARE,53001021,32508.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,X-Ray Equipment Purchase,Breast Imaging,SUPPLY CHAIN COORDINATION LIMITED,53003713,28573.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Computer Software/License,QAH Patient Communications,HEALTHCARE COMMUNICATIONS UK LTD,53004240,28366.13
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,53007231,52095.16
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Chemicals,Neonatal Screening (Chem),REVVITY (UK) LTD,53015907,49521.12
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Rent,Other Peripheral Sites,ISLE OF WIGHT NHS TRUST,53016801,32816.47
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Rent,Other Peripheral Sites,ISLE OF WIGHT NHS TRUST,53016806,32816.47
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,Renal Non Pay,ISLE OF WIGHT NHS TRUST,53016808,29200.13
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,Onc/Haem OPD B Level,ISLE OF WIGHT NHS TRUST,53016809,45490.94
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Independent Sector,TLHC,INHEALTH LTD,53016810,126106.5
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Independent Sector,TLHC,INHEALTH LTD,53016811,76560
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,Radiology Medical Staff,TELEMEDICINE CLINIC LTD,53016820,178798.52
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Other Liabilities - Curr,Balance Sheet,HOSPITAL COMPANY QAH PORTSMOUTH LTD,53017408,10718100.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53021236,45260.81
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53021421,40114.27
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53021507,35830.08
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ALLOGA UK LTD,53021545,183600
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53021579,29779.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,BAYER PLC,53021589,27373.68
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ALEXION PHARMA UK LTD,53021855,37800
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Independent Sector,PLASTIC SURGERY,SURGICAL CONSORTIUM LTD ( THE),53029424,26824
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Chemicals,Blood Sciences,ROCHE DIAGNOSTICS LTD,53032500,303474.5
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Chemicals,Histopathology,ROCHE DIAGNOSTICS LTD,53032516,122942.3
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Other recvables - Current,Balance Sheet,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,53035630,239154.18
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Med & Surg Equip General,Sleep Service,RESMED (UK) LTD,53038176,38148.78
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Course Fees,Continuing Professional Development,UNIVERSITY OF SOUTHAMPTON,53038190,200000
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,SCIENSUS PHARMA SERVICES LTD,53045281,37299
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,Community Dieticians,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,1213
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,Diabetic Day Unit,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,9712
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,ENT OUTPATIENTS,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,433
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,HAEM & ONC SENIOR NURSES,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,189
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,OCCUPATIONAL HEALTH,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,2858
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,PAEDIATRIC DOCTORS,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,3858
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,Physiotherapy,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,8888
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,RHEUMATOLOGY CENTRAL,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,1673
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,WARD-Lotus Rehabilitation Centre D10,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53047534,5995
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53047632,444431.05
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53047690,78240.12
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53047712,409289.32
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Capital Non Pay Costs,Balance Sheet,GE MEDICAL SYSTEMS LTD,53048063,41344.87
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Rent,MITCHELL WAY PREMISES,SACKVILLE UK PROPERTY SELECT II (GP) LTD,53072258,49905.48
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Services Received - NHSTs,BCSP,ISLE OF WIGHT NHS TRUST,53072282,29688.59
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Capital Non Pay Costs,Balance Sheet,LITECHNICA LTD,53072785,36360
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Computer Software/License,PROCUREMENT SERVICES,INGENICA SOLUTIONS LTD,53074730,40950
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,53075611,7645771.05
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,53075611,5977690.76
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Shared Parental Leave,Balance Sheet,INLAND REVENUE CIS,53075611,1989.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Statutory Mat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,53075611,-219982.39
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory External Tests,Histopathology,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53084026,37404
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM UK LTD,53084031,29306.16
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM FACILITIES MANAGEMENT,53084032,49762.44
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory External Tests,Histopathology,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,53084039,28534.63
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Blood Products,Blood Transfusion Service,NHS BLOOD & TRANSPLANT,53084056,43869.18
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53084069,469700.27
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Capital Non Pay Costs,Balance Sheet,INTEGRATED HEALTH PROJECTS,53084364,4035279.95
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Capital Non Pay Costs,Balance Sheet,SECTRA LTD,53086867,121629.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53092444,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,BOEHRINGER INGELHEIM LTD,53092681,42959.88
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,53092983,66074.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,53093094,37830.5
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,GE HEALTHCARE LTD,53093130,34224.73
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53093676,34440
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53093799,25620
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53093847,44845.74
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53093853,27230.52
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,Histopathology,POUNDBURY CANCER INSTITUTE,53098561,61090
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Test Kits,Microbiology,ROCHE DIAGNOSTICS LTD,53098563,79046.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,53104557,234420.48
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,53104578,55165.88
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ALLOGA UK LTD,53104587,32284.8
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,53104640,31851.71
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Training Expenses,Organisational  Development,INNOVATION ARTS LTD,53110907,40000
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Training Expenses,Organisational  Development,INNOVATION ARTS LTD,53110908,40000
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Chemicals,Neonatal Screening (Chem),REVVITY (UK) LTD,53110910,43732.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Capital Non Pay Costs,Balance Sheet,ANETIC AID LTD,53110921,84477.42
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Rent,COMMUNITY HOSPITALS - GWMH,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53111750,29820
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Independent Sector,Endoscopy,PRACTICE PLUS GROUP HOSPITALS LTD,53111773,31886.36
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Test Kits,Microbiology,ROCHE DIAGNOSTICS LTD,53111800,220025.23
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Test Kits,Microbiology,ROCHE DIAGNOSTICS LTD,53111808,123863.45
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,Histopathology,POUNDBURY CANCER INSTITUTE,53111831,41488
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,Histopathology,POUNDBURY CANCER INSTITUTE,53111834,83495
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,BAYER PLC,53113297,45622.8
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Course Fees,Continuing Professional Development,BOURNEMOUTH UNIVERSITY,53113556,40000
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Bldg/Eng Equip Maint/Rep,Corporate Hub,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53119854,3942.28
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Bldg/Eng Equip Maint/Rep,FORT SOUTHWICK REV COSTS,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,53119854,4173.9
