Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53553216,103814.27
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,SCIENSUS PHARMA SERVICES LTD,53554968,37299
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,53555407,5952692.08
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,53555407,5165252.97
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Shared Parental Leave,Balance Sheet,INLAND REVENUE CIS,53555407,-677.24
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Statutory Mat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,53555407,-222588.61
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Statutory Pat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,53555407,-338.62
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM UK LTD,53556568,28886
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM FACILITIES MANAGEMENT,53556572,49049
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Legal / Prof Fees,Governance and Risk,MILLS & REEVE LLP,53556577,39679.25
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Legal / Prof Fees,Governance and Risk,MILLS & REEVE LLP,53556584,82643.29
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,TLHC,AIDENCE BV,53556595,29600
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Med & Surg Equip General,Theatres - Non Pay,ELIS UK,53556632,26905.81
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Legal / Prof Fees,Governance and Risk,MILLS & REEVE LLP,53556722,33700.63
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53556723,85999.64
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53556726,408381.82
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53556737,604912.82
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Med & Surg Equip General,Sleep Service,RESMED (UK) LTD,53556942,36029.7
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,BAYER PLC,53564484,145992.96
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53564714,194580.58
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,AAH PHARMACEUTICALS LTD,53564729,31860
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Capital Non Pay Costs,Balance Sheet,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),53568545,24910.45
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,Manufacturing Pharmacy,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),53568545,13162.5
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Med & Surg Equip General,Sleep Service,RESMED (UK) LTD,53568562,30048.6
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53578924,68880
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53578968,40437.62
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,COLORECTAL MEDICAL STAFF,SURGICAL CONSORTIUM LTD ( THE),53580934,48212
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,BUSINESS SUPPLIES GROUP LTD (THE),53580939,27606.47
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,ENT CENTRAL STATEMENT,SURGICAL CONSORTIUM LTD ( THE),53580949,29660
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,TLHC,INHEALTH LTD,53580951,40040
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,DIA - Havant Dialysis,DIAVERUM FACILITIES MANAGEMENT,53580955,107483.12
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Radiology Medical Staff,TELEMEDICINE CLINIC LTD,53580959,167354.91
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Sewerage,Energy and Utilities QAH,SCOTTISH WATER BUSINESS STREAM,53580962,57487.44
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53580987,406092.4
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53581004,36800.75
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Rates,Corporate Hub,PORTSMOUTH CITY COUNCIL,53581453,49696.85
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Rates,RATES,PORTSMOUTH CITY COUNCIL,53581454,69110.13
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Capital Non Pay Costs,Balance Sheet,SECTRA LTD,53583081,121629.6
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Laboratory Chemicals,Histopathology,ROCHE DIAGNOSTICS LTD,53583169,33891.79
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Laboratory Chemicals,Blood Sciences,ROCHE DIAGNOSTICS LTD,53583181,276206.44
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Laboratory Test Kits,Microbiology,ROCHE DIAGNOSTICS LTD,53583184,91582.79
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Capital Non Pay Costs,Balance Sheet,ANETIC AID LTD,53583873,80031.24
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUALASEPT LTD T/A BATH ASU,53589121,46599
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53589127,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Legal / Prof Fees,Main Entrances,PORTSMOUTH CITY COUNCIL,53591914,33658.18
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,FMC - Chandlers Ford Dialysis,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,53592002,71704.81
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,FMC - Chandlers Ford Dialysis,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,53592004,57128.81
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Capital Non Pay Costs,Balance Sheet,ANETIC AID LTD,53592961,67174.38
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Contr Other External,Renal Non Pay,VITALPULSE LTD,53592980,32971
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUALASEPT LTD T/A BATH ASU,53600093,90413.4
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53600101,97080
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53600117,97080
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,53600149,34933.44
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,Cardiac Investigation Unit,XYLA ELECTIVE CARE,53600980,32568.7
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,Cardiac Investigation Unit,XYLA ELECTIVE CARE,53600985,38592
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,Breast Imaging,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),53612007,94281
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,CAPD Fluids,RENAL PD UNIT,VANTIVE LTD,53612143,111158.25
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53620693,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53620695,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53620697,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53620698,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53620700,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53620703,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Histopathology,POUNDBURY CANCER INSTITUTE,53625973,73930
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Recovery Costs,ALLIANCE MEDICAL LTD,53625975,62700
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53626024,513282.94
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53631553,58943.51
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53631657,25348.9
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53631918,25618.8
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,BAYER PLC,53631963,72291.36
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,"Books, Journals & Subscr",Anaesthetics,ROTAMAP LTD,53637331,33900
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,Core Finance,LOGEX HEALTHCARE ANALYTICS LTD,53637906,29625
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,Cardiac Medical Staff,KINGS COLLEGE LONDON,53640620,36076.38
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53645534,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53646538,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53646543,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,SIGMA PHARMACEUTICALS PLC,53646700,25244.28
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,53646828,98090.52
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,53646833,123379.2
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Histopathology,POUNDBURY CANCER INSTITUTE,53650635,81800
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53650660,92390.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Limbs,Limbs,HUGH STEEPER LTD,53651028,84098.6
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Patients Appl: Purchase,Orthotics,HUGH STEEPER LTD,53651028,69540.29
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Med & Surg Equip General,Theatres - Non Pay,INTUITIVE SURGICAL LTD,53652654,31573.85
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Other Miscellaneous,FUNDRAISING,MOORE KINGSTON SMITH LLP,53653184,22800
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53655138,27009.6
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53655143,27009.6
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALIUM MEDICAL LTD,53655168,89982
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,53655322,61485.24
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Miscellaneous Expenditure,TRUST CENTRAL EXPENSES,ISLE OF WIGHT NHS TRUST,53661228,30397.34
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,TLHC,INHEALTH LTD,53661322,150161.5
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM UK LTD,53661324,28570.88
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM FACILITIES MANAGEMENT,53661325,48513.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,DIA - Havant Dialysis,DIAVERUM UK LTD,53661327,75130.04
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53661341,423806.35
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Maintenance,IT Technical Services,VOHKUS LTD,53663148,43606.8
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Recruitment Agency Fees,INTERNATIONAL VISAS,SABLE INTERNATIONAL,53668228,100000
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,Office 365,TRUSTMARQUE SOLUTIONS LTD,53668243,64928.52
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,Office 365,TRUSTMARQUE SOLUTIONS LTD,53668246,31233.6
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Sewerage,Energy and Utilities QAH,SCOTTISH WATER BUSINESS STREAM,53680608,46100.63
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Sewerage,Energy and Utilities QAH,SCOTTISH WATER BUSINESS STREAM,53680611,48254.8
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53683927,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53683937,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53683940,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53683944,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,53683992,40336.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53684731,54807.84
