Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53763781,64846.8
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53763786,50330.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Course Fees,Continuing Professional Development,UNIVERSITY OF SOUTHAMPTON,53763788,70000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,53769003,59760.48
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,53769125,28543.68
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53769267,45600
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,53769403,37512.96
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53769871,30888
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53770163,31625.9
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Chemicals,Blood Sciences,RADIOMETER LTD,53773071,38247.97
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Equip Maint Contracts,PHT Main X-Ray,SUPPLY CHAIN COORDINATION LIMITED,53773106,21303.11
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,HEALTHNET HOMECARE (UK) LTD,53778383,-29093.69
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Other recvables - Current,Balance Sheet,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,53784496,196910.17
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Prostheses - Hips,Theatres - Non Pay,STRYKER UK LTD,53784530,23658.32
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Prostheses - Knees,Theatres - Non Pay,STRYKER UK LTD,53784530,23136.39
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53787193,50794.75
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53787210,416446.26
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip Disp,Endoscopy,CHG-MERIDIAN UK LTD,53787917,69721.67
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ALLOGA UK LTD,53792314,198000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,53792322,46862.61
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,53792399,81147.17
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Independent Sector,PLASTIC SURGERY,HCA LABORATORIES,53798893,73500.67
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,BAM CONSTRUCTION LTD,53800362,35454.55
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,Dermatology-IOW,LIGHTHOUSE MEDICAL LTD,53800366,119327
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Contr Estate Management,Energy and Utilities QAH,LEXICA HEALTH AND LIFE SCIENCES CONSULTANCY LTD,53803657,45125
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Test Kits,Microbiology,ABBOTT LABORATORIES LTD,53804217,45004.79
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,AAH PHARMACEUTICALS LTD,53808888,58800
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,53808925,57921.72
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53810153,31997.93
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Software/License,Pathology IT,SECTRA LTD,53817227,84310.8
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Software/License,PROCUREMENT SERVICES,INGENICA SOLUTIONS LTD,53817532,28663.66
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Independent Sector,PLASTIC SURGERY,HCA LABORATORIES,53827998,290251.77
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Other Liabilities - Curr,Balance Sheet,HOSPITAL COMPANY QAH PORTSMOUTH LTD,53829466,9081828.11
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Software/License,QAH Patient Communications,HEALTHCARE COMMUNICATIONS UK LTD,53830480,30722.24
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Chemicals,Histopathology,ROCHE DIAGNOSTICS LTD,53830520,112123.08
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Chemicals,Blood Sciences,ROCHE DIAGNOSTICS LTD,53830527,299449.44
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53838115,59200.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Primary Care Centre,PORTSMOUTH PRIMARY CARE ALLIANCE LTD,53845936,174482.29
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,SOFTCAT PLC,53847749,41300.03
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,CAPD Fluids,RENAL PD UNIT,VANTIVE LTD,53851464,101355.28
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53851478,523513.38
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,GILEAD SCIENCES LTD,53851735,38419.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53851745,33300
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Course Fees,Continuing Professional Development,UNIVERSITY OF SOUTHAMPTON,53854202,30000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,53869939,61616.31
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,Outpatient Pharmacy,LP HCS LTD,53869943,89757.18
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,LP HCS LTD,53869943,54666.47
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53869969,421675.98
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53869973,37596.3
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,INTEGRATED HEALTH PROJECTS,53871266,1539067.76
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Theatres - Non Pay,INTUITIVE SURGICAL LTD,53874709,44560.51
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,53874829,5986172.31
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,53874829,5158826.83
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Shared Parental Leave,Balance Sheet,INLAND REVENUE CIS,53874829,-677.24
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Statutory Mat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,53874829,-200311.11
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Statutory Pat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,53874829,-338.62
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53875751,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53875764,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53875773,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53875785,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53875955,52815.67
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53876068,27908.71
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,53876526,53302.44
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,53876647,118030
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,INTER PROVIDER CONTRACTS,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886549,233540.87
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Blood Sciences,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886581,7653.75
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Neurology,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886581,75390
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,ONCOLOGY MEDICAL STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886581,1824
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Orthopaedic Central,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886581,8778.18
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,PAEDS OPD & SPECIALISTS,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886581,5523.93
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Renal Non Pay,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886581,38139.42
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,UPPER GI MEDICAL STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886581,7356.15
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,VASCULAR STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886581,87018.96
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Orthopaedic Central,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886582,26456.13
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Drugs,Onc/Haem OPD B Level,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,53886583,414178
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Blood Sciences,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,7653.75
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Neurology,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,75390
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,ONCOLOGY MEDICAL STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,1824
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Orthopaedic Central,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,35234.31
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,PAEDS OPD & SPECIALISTS,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,5523.93
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Renal Non Pay,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,38139.42
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,UPPER GI MEDICAL STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,7356.15
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Urology Nursing Staff,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,3070.64
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,VASCULAR STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886587,87018.96
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Drugs,Onc/Haem OPD B Level,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,53886588,358008
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory External Tests,Blood Sciences,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53886618,40748.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,BBM - Basingstoke Dialysis,B BRAUN AVITUM UK LTD,53886619,81074.03
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,BBM - Basingstoke Dialysis,B BRAUN AVITUM UK LTD,53886623,55788.64
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,BBM - Basingstoke Dialysis,B BRAUN AVITUM UK LTD,53886624,82294.72
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,BBM - Basingstoke Dialysis,B BRAUN AVITUM UK LTD,53886626,54961.12
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Maintenance,IT Technical Services,INSIGHT DIRECT (UK) LTD,53886797,39700.72
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Maintenance,IT Technical Services,DH OPCO UK LTD,53886802,90453.36
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53887643,639508.75
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,External Data Contracts,SBS,NHS SHARED BUSINESS SERVICES LTD,53891258,37785.48
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,53901283,29147.52
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ALLOGA UK LTD,53902795,33079.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53902970,25618.8
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,MAWDSLEY BROOKS & CO LTD,53903138,39776.74
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Radio-Isotopes,Nuclear Medicine PHT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53905295,33341.48
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Interest Rec Other,TRUST CENTRAL EXPENSES,GOSPORT BOROUGH COUNCIL,53905709,-1591.05
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,COMMUNITY HOSPITALS - GWMH,GOSPORT BOROUGH COUNCIL,53905709,-38936.65
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,,RATES,GOSPORT BOROUGH COUNCIL,53905709,-5739.59
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Interest Rec Other,TRUST CENTRAL EXPENSES,GOSPORT BOROUGH COUNCIL,53905711,-999.45
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,COMMUNITY HOSPITALS - GWMH,GOSPORT BOROUGH COUNCIL,53905711,-24530.49
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,,RATES,GOSPORT BOROUGH COUNCIL,53905711,-3558.54
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Interest Rec Other,TRUST CENTRAL EXPENSES,GOSPORT BOROUGH COUNCIL,53905717,-1413.71
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,COMMUNITY HOSPITALS - GWMH,GOSPORT BOROUGH COUNCIL,53905717,-34603.98
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,,RATES,GOSPORT BOROUGH COUNCIL,53905717,-5108.23
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Maint Contract,NEONATAL UNIT,SYSTEM C HEALTHCARE LTD,53905799,34506.54
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Primary Care Centre,PORTSMOUTH PRIMARY CARE ALLIANCE LTD,53906283,97092.98
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Primary Care Centre,PORTSMOUTH PRIMARY CARE ALLIANCE LTD,53906286,33165.55
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53913987,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53913991,27403.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53913994,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53913998,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53914073,35843.04
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53914489,41051.46
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,DIA - Havant Dialysis,DIAVERUM FACILITIES MANAGEMENT,53916120,97679.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Independent Sector,Cardiac Medical Staff,KINGS COLLEGE LONDON,53916127,44582.43
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Other Peripheral Sites,ISLE OF WIGHT NHS TRUST,53916130,37937.39
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Services Received - NHSTs,Renal Non Pay,ISLE OF WIGHT NHS TRUST,53916131,33755.35
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Services Received - NHSTs,BCSP,ISLE OF WIGHT NHS TRUST,53916132,34320.01
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Services Received - NHSTs,Onc/Haem OPD B Level,ISLE OF WIGHT NHS TRUST,53916136,52587.52
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Enteral Feeding,Nutritional Nurses,NUTRICIA LTD,53916140,41716.24
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,53916170,61616.31
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Independent Sector,Cardiac Investigation Unit,XYLA ELECTIVE CARE,53916176,30552
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53916187,29017.28
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,Railway Triangle,PORTSMOUTH CITY COUNCIL,53918951,48594
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,RATES,PORTSMOUTH CITY COUNCIL,53918952,31635
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,Corporate Hub,PORTSMOUTH CITY COUNCIL,53918953,217837.5
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,RATES,PORTSMOUTH CITY COUNCIL,53918954,3701850
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,FUJIFILM SONOSITE LTD,53920509,37476
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ABBVIE LTD,53930661,25162.58
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ALEXION PHARMA UK LTD,53931764,75600
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,MITCHELL WAY PREMISES,SACKVILLE UK PROPERTY SELECT II (GP) LTD,53938014,53691.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Sterile Products,HOME HAEMO SERVICE,FRESENIUS MEDICAL CARE UK LTD,53938015,162253.15
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53938043,428856.49
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,STRYKER UK LTD,53940111,165294
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Miscellaneous Expenditure,TRUST CENTRAL EXPENSES,ISLE OF WIGHT NHS TRUST,53952997,31331
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Interpreting services,patient experience services,DA LANGUAGES LTD,53953121,28579.45
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Drugs,Onc/Haem OPD B Level,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,53953185,477890
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Drugs,Onc/Haem OPD B Level,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,53953201,423548
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Matrix Park,HELIX PROPERTY ADVISORS LTD,53953218,74799.36
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory External Tests,Transplant Non Pay,NHS BLOOD & TRANSPLANT,53953291,57544.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,MITCHELL WAY PREMISES,SACKVILLE UK PROPERTY SELECT II (GP) LTD,53953334,53691.6
