Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Training Expenses,ALERT Courses,FRANK DESIGN LTD,54092712,34550
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Independent Sector,BARIATRIC SURGERY,STREAMLINE CLINICS LTD,54102262,44628.75
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Independent Sector,BARIATRIC SURGERY,STREAMLINE CLINICS LTD,54102263,25987.25
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Independent Sector,BARIATRIC SURGERY,STREAMLINE CLINICS LTD,54102264,34438.47
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,AUC NBV BF,Balance Sheet,HOSPITAL COMPANY QAH PORTSMOUTH LTD,54102277,-3696110
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Bldg Ctrcts - PFI Svc Chg,THC Unitary Charge,HOSPITAL COMPANY QAH PORTSMOUTH LTD,54102279,-172205
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Sewerage,Energy and Utilities QAH,SCOTTISH WATER BUSINESS STREAM,54102285,34061.42
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Rates,Matrix Park,FAREHAM BOROUGH COUNCIL,54105660,100882.45
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54108619,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,IT Technical Services,INSIGHT DIRECT (UK) LTD,54109382,207169.79
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,54109764,40250.41
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,OCTAPHARMA LTD,54110524,33170
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,54110656,34846.5
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALEXION PHARMA UK LTD,54110667,37800
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Miscellaneous Expenditure,Deputy CNO,ISLE OF WIGHT NHS TRUST,54112980,32359.91
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Other NHS Payables <1Yr,Balance Sheet,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,54112987,-55350
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,54112993,39837.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,54112994,669645.46
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Chemicals,Histopathology,ROCHE DIAGNOSTICS LTD,54114408,119387
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Chemicals,Blood Sciences,ROCHE DIAGNOSTICS LTD,54114409,233340.05
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Test Kits,Microbiology,ROCHE DIAGNOSTICS LTD,54114410,140996.24
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,54121926,29587.81
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Theatres - Non Pay,INTUITIVE SURGICAL LTD,54128056,31261.97
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,PACs/CRIS Consortium,MAGENTUS SOFTWARE LTD,54128110,195301.21
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,PACs/CRIS Consortium,MAGENTUS SOFTWARE LTD,54128113,36644.31
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Blood Products,Blood Transfusion Service,NHS BLOOD & TRANSPLANT,54129195,-32382.54
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,54129587,6174244.59
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,54129587,5224080.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Shared Parental Leave,Balance Sheet,INLAND REVENUE CIS,54129587,-7111.02
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Stat Adoption Pay - Curr,Balance Sheet,INLAND REVENUE CIS,54129587,-2481.5
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Statutory Mat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,54129587,-244355.64
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Statutory Pat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,54129587,-1015.86
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,Recovery Costs,TIC MOBILE LTD,54129789,30000
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Capital Non Pay Costs,Balance Sheet,SOFTCAT PLC,54129801,67368.8
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,IT Technical Services,CDW LTD,54133889,85380.05
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Chemicals,Blood Sciences,THERMO FISHER DIAGNOSTICS LTD,54143101,29014.08
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,QAH Patient Communications,HEALTHCARE COMMUNICATIONS UK LTD,54143112,34640.5
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54144187,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54144197,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,54144419,28151.81
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,54144619,43831.77
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Theatres - Non Pay,INTUITIVE SURGICAL LTD,54144664,47661.89
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Prescription Charges Rev,Outpatient Pharmacy,ROWLANDS PHARMACY,54145121,1000000
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Other NHS Payables <1Yr,Balance Sheet,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,54145123,55350
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Test Kits,Microbiology,ABBOTT LABORATORIES LTD,54145130,39539.58
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Theatres - Non Pay,ELIS UK,54145131,26825.33
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,DIA - Havant Dialysis,DIAVERUM FACILITIES MANAGEMENT,54145135,111848.28
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Test Kits,Microbiology,ROCHE DIAGNOSTICS LTD,54145136,91582.79
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,Radiology Medical Staff,TELEMEDICINE CLINIC LTD,54145137,133091.88
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,54146210,78880
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,54146264,45112.18
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,AAH PHARMACEUTICALS LTD,54146337,52192.8
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,54146839,38428.2
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,BAYER PLC,54160625,26172
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,MYLAN,54161715,35688.24
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLOGA UK LTD,54161990,36594
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54165103,-30800
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54165106,-69650.08
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54165108,-57516.68
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Radio-Isotopes,Nuclear Medicine PHT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,54165119,37241.75
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Chemicals,Neonatal Screening (Chem),REVVITY (UK) LTD,54165857,180328.44
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Recruitment Agency Fees,International Recruitment,SABLE INTERNATIONAL,54167328,100000
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54167438,88670.2
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54167440,83670
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Sleep Service,RESMED (UK) LTD,54172386,31908.88
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,54174016,28233.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,54174558,26340.22
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,54174645,56900.34
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,AMGEN LTD,54174726,37187.58
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ABBVIE LTD,54174734,41760
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,54174846,65392.32
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,54174980,28056
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Secndd staff frm othr org,E-PRESCRIBING,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,54176182,33958.35
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,54176232,590457.36
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,54176252,382419.87
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,EYE NURSING STAFF,TOUKANEYES LTD,54180347,22388.44
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54183076,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54183082,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54183086,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54183090,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54183094,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,PIERRE FABRE LTD,54183168,50642.54
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,DEFENCE BUSINESS SERVICES,54185416,371122.5
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Limbs,Limbs,HUGH STEEPER LTD,54187424,97285.56
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Patients Appl: Purchase,Orthotics,HUGH STEEPER LTD,54187424,86455.18
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,54188678,43326.24
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Primary Care Centre,PORTSMOUTH PRIMARY CARE ALLIANCE LTD,54190161,166078.84
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Theatres - Non Pay,INTUITIVE SURGICAL LTD,54191007,30182.26
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,Pathology IT,CLINISYS SOLUTIONS LTD,54199351,446622.65
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,54200611,118091.52
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,54200819,37620
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,Pathology IT,DH OPCO UK LTD,54204930,57481.45
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54216154,57516.68
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54216161,69650.08
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54216183,84000
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54216188,65999.95
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54216193,56666.64
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Independent Sector,TLHC,INHEALTH LTD,54216225,76120
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,Histopathology,POUNDBURY CANCER INSTITUTE,54216248,96235
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,54216269,522818.41
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,54216276,418089.52
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54216457,-88670.2
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,ED Nursing,ACCESS UK LTD,54217702,86772
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54217778,87670.2
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,SCIENSUS PHARMA SERVICES LTD,54218956,37299
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,54226275,37065.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Legal / Prof Fees,Governance and Risk,MILLS & REEVE LLP,54228010,50817.02
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Legal / Prof Fees,Governance and Risk,MILLS & REEVE LLP,54228017,33503.57
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,Histopathology,ROCHE DIAGNOSTICS LTD,54228019,27758.22
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,54232337,55677.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,54232362,-111355.2
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Theatres - Non Pay,SUPPLY CHAIN COORDINATION LIMITED,54233256,66945.06
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54236208,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54236215,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54236224,27823.92
